paramimmitavasavatti	Paramimmitavasavatti	Tha Hóa Tự Tại	1
aciravata	Aciravata	Tân Học Sa-môn	1
bhumija	Bhumija	Phù-di	1
nandiya	Nandiya	Nan-đề	1
kimbila	Kimbila	Kim-ty—la	1
son	Sơn	Himālaya	1
parichattaka	Pārichattaka	Trú độ thọ	1
pandukambala	Paṇḍukambala	Vô cấu bạch thạch	1
subhuti	Subhūti	Tu-bồ-đề	1
punna	Puñña	Phú-lâu-na	1
sunaparanta	Sunaparanta	Tây Phương Du-na Quốc	1
rajakarama	Rajakarama	Vương Tự	1
